Frame,Agent_Type,Agent_ID,X,Y
0,Dog,0,140.096145042211,143.81678033060052
0,Sheep,0,169.75645226924792,85.20832048846313
0,Sheep,1,157.26184920622498,79.62576471894296
0,Sheep,2,156.46858167547043,92.3655305591392
0,Sheep,3,189.75008998560062,70.09006888188644
0,Sheep,4,155.6225167395338,61.65959478505221
0,Sheep,5,188.7956316124426,98.59507497850878
0,Sheep,6,155.9939427822511,70.09669467814889
0,Sheep,7,189.0220465963715,47.55429739617282
0,Sheep,8,186.44865150945196,95.43338332022356
0,Sheep,9,173.56632620117227,85.32527381218786
0,Sheep,10,163.0164933226403,78.88921403225655
0,Sheep,11,153.59128816928828,89.62313009184503
0,Sheep,12,146.52046107586452,84.19445335847658
0,Sheep,13,158.41084858848285,57.28697370077422
0,Sheep,14,147.95960407424622,93.28098532019158
0,Sheep,15,174.58469007456034,83.73027983941562
0,Sheep,16,168.53083607010882,56.31554686559254
0,Sheep,17,139.1265981796627,77.0052365203531
0,Sheep,18,192.30088148121865,53.27967148321239
0,Sheep,19,166.8209259256584,71.16538998808348
1,Dog,0,140.9433373695388,142.8307452599682
1,Sheep,0,169.7295820239603,84.96546337817232
1,Sheep,1,157.4693088912913,79.48981031391314
1,Sheep,2,156.70060402117622,91.9584330712787
1,Sheep,3,189.32043985463284,70.17159385909103
1,Sheep,4,155.85440191819313,61.897480243864294
1,Sheep,5,188.40960910053968,98.1018151805864
1,Sheep,6,156.2212534364427,70.15956471837492
1,Sheep,7,188.59626159648926,48.092108658297164
1,Sheep,8,186.10592900994547,95.00054745517228
1,Sheep,9,173.46586474371335,85.08371462611984
1,Sheep,10,163.113831918959,78.77228453837473
1,Sheep,11,153.8741543212337,89.27244680129101
1,Sheep,12,146.93163834854815,83.95678225810727
1,Sheep,13,158.58763766735817,57.61584901983909
1,Sheep,14,148.34796855031368,92.84716535248202
1,Sheep,15,174.4629171200156,83.52250128382094
1,Sheep,16,168.51049597304325,56.667501604527935
1,Sheep,17,139.67552012731974,76.91995609486115
1,Sheep,18,191.81250827039392,53.70278776537399
1,Sheep,19,166.84034297510192,71.21108589719323
2,Dog,0,141.7901442843695,141.84437917732197
2,Sheep,0,169.6769370956691,84.48188739230393
2,Sheep,1,157.88037666929134,79.21805053967488
2,Sheep,2,157.1601451979425,91.14956687879406
2,Sheep,3,188.4705431209261,70.33064286987084
2,Sheep,4,156.3139013544488,62.366160899886125
2,Sheep,5,187.79497232885655,97.31300593361878
2,Sheep,6,156.67166395361377,70.28161923229082
2,Sheep,7,187.97507303357847,48.875768848968924
2,Sheep,8,185.48698194372867,94.21511591637518
2,Sheep,9,173.26760121808198,84.60271963185305
2,Sheep,10,163.3069763729221,78.53817556591594
2,Sheep,11,154.43433176369075,88.57538845144573
2,Sheep,12,147.74582471974733,83.48368616727008
2,Sheep,13,158.93808992208957,58.26472455672091
2,Sheep,14,149.01377299675025,92.10104022412622
2,Sheep,15,174.2224713930356,83.10842928935489
2,Sheep,16,168.47074124788512,57.36207308564946
2,Sheep,17,140.66334090351046,76.76436593931626
2,Sheep,18,191.05610431926658,54.35689134819439
2,Sheep,19,166.87928368069,71.29908964687856
3,Dog,0,142.63633970306094,140.8574884471063
3,Sheep,0,169.60076661439385,83.76325947768375
